Date,Dividends
2011-03-02,0.01
2011-08-31,0.01
2013-02-27,0.01
2016-06-01,0.05
2016-11-30,0.075
2012-12-05,0.01
2014-12-03,0.05
2010-06-02,0.01
2010-12-01,0.01
2012-05-30,0.01
2016-08-31,0.075
2017-03-01,0.075
2012-09-05,0.01
2014-09-03,0.05
2015-03-04,0.05
2010-03-03,0.01
2010-09-01,0.01
2012-02-29,0.01
2017-05-31,0.075
2013-06-05,0.01
2013-12-04,0.01
2015-06-03,0.05
2015-12-02,0.05
2014-06-20,0.01
2011-06-01,0.01
2011-11-30,0.01
2015-09-02,0.05
2016-03-02,0.05
2017-08-30,0.12
2013-09-04,0.01
2014-03-05,0.01
