Date,Dividends
2011-12-16,0.356
2012-06-15,0.22
2016-09-16,0.3543
2012-09-21,0.281
2014-11-21,0.448
2015-05-15,0.403
2010-11-19,0.361
2011-05-20,0.414
2015-02-20,0.49
2015-08-21,0.55
2010-04-16,0.091
2013-01-18,0.145
2014-07-18,0.182
2017-03-17,0.408
2010-02-19,0.265
2011-08-19,0.419
2014-04-17,0.132
2010-07-16,0.093
2014-10-17,0.14254
2013-03-15,0.302
2017-06-16,0.394
2013-06-21,0.304
2015-12-18,0.408
2017-04-21,0.182
2011-06-17,0.208
2015-09-18,0.328
2015-11-20,0.573
2013-04-19,0.141
2017-07-21,0.236
2011-09-16,0.21
2010-05-21,0.381
2011-11-18,0.285
2014-05-16,0.421
2016-02-19,0.613
2013-07-19,0.206
2014-01-17,0.133
2017-10-20,0.183
2016-03-18,0.375
2010-08-20,0.384
2011-02-18,0.3
2014-08-15,0.296
2013-10-18,0.17
2012-03-16,0.255
2016-06-17,0.355
2016-12-16,0.432
2012-12-21,0.413
2010-06-18,0.19
2014-09-19,0.413
2017-05-19,0.608
2016-11-18,0.533
2016-04-15,0.13003
2012-04-20,0.149
2010-09-17,0.191
2012-11-16,0.323
2013-05-17,0.429
2017-08-18,0.529
2017-02-17,0.561
2016-07-15,0.135
2011-01-21,0.144
2012-07-20,0.21
2015-01-16,0.148
2016-10-21,0.18
2015-03-20,0.311
2012-02-17,0.332
2013-08-16,0.383
2012-10-19,0.187
2011-03-18,0.226
2013-12-20,0.395
2015-06-19,0.48
2010-10-15,0.093
2010-12-17,0.263
2017-09-15,0.458
2013-09-20,0.304
2016-05-20,0.612
2015-04-17,0.118
2017-01-20,0.193
2012-05-18,0.425
2013-11-15,0.298
2014-02-21,0.435
2016-08-19,0.656
2011-04-15,0.112
2012-01-20,0.166
2015-07-17,0.172
2016-01-15,0.086
2010-12-29,0.248
2014-03-21,0.282
2012-08-17,0.349
2013-02-15,0.357
2011-07-15,0.112
2015-10-16,0.08
2011-10-21,0.185
2010-03-19,0.207
2014-06-20,0.326
2014-12-19,0.383
