Date,Dividends
2017-05-16,0.39
2014-11-18,0.31
2015-05-19,0.31
2016-11-15,0.39
2010-11-16,0.16
2011-05-17,0.16
2012-11-13,0.23
2013-05-14,0.23
2017-08-15,0.39
2013-02-19,0.23
2015-02-17,0.31
2015-08-18,0.31
2017-02-14,0.39
2010-02-16,0.13
2011-08-16,0.16
2012-02-14,0.2
2013-08-13,0.23
2013-11-19,0.28
2015-11-17,0.36
2016-05-17,0.36
2010-05-18,0.13
2011-11-15,0.2
2012-05-15,0.2
2014-05-13,0.28
2014-02-18,0.28
2014-08-19,0.28
2016-02-16,0.36
2016-08-16,0.36
2010-08-17,0.13
2011-02-15,0.16
2012-08-14,0.2
