Date,Dividends
2013-04-01,0.255
2017-07-03,0.258
2014-08-01,0.3
2011-03-01,0.297
2010-05-03,0.32
2011-09-01,0.322
2014-02-03,0.276
2013-07-01,0.252
2017-10-02,0.252
2010-02-01,0.325
2010-08-02,0.324
2012-06-01,0.263
2016-09-01,0.254
2011-12-27,0.38
2013-10-01,0.278
2014-12-01,0.277
2015-12-24,0.254
2010-11-01,0.319
2016-06-01,0.267
2015-05-01,0.258
2015-03-02,0.252
2010-12-01,0.34
2012-09-04,0.272
2011-02-01,0.32
2012-04-02,0.29
2013-08-01,0.27
2010-09-01,0.322
2016-04-01,0.27
2012-03-01,0.267
2015-02-02,0.279
2016-12-01,0.243
2012-07-02,0.269
2016-10-03,0.247
2013-11-01,0.288
2016-07-01,0.255
2012-10-01,0.26
2012-12-26,0.268
2016-12-22,0.309
2015-06-01,0.264
2015-12-01,0.257
2014-05-01,0.269
2017-04-03,0.255
2015-09-01,0.263
2016-03-01,0.248
2011-06-01,0.352
2011-12-01,0.29
2014-11-03,0.29
2016-11-01,0.25
2012-02-01,0.289
2012-08-01,0.273
2015-04-01,0.273
2012-05-01,0.283
2016-02-01,0.241
2016-08-01,0.258
2015-07-01,0.258
2011-04-01,0.386
2011-10-03,0.306
2012-12-03,0.245
2013-12-26,0.335
2014-06-02,0.294
2011-07-01,0.32
2015-10-01,0.256
2013-03-01,0.254
2017-08-01,0.269
2013-05-01,0.261
2010-06-01,0.326
2014-09-02,0.271
2017-03-01,0.234
2015-11-02,0.267
2017-05-01,0.255
2014-04-01,0.28
2010-03-01,0.29
2013-02-01,0.26
2011-05-02,0.4
2015-08-03,0.267
2017-06-01,0.263
2014-07-01,0.292
2010-04-01,0.332
2011-08-01,0.325
2010-12-28,0.32
2017-09-01,0.263
2014-12-24,0.261
2010-07-01,0.31
2013-06-03,0.275
2013-12-02,0.31
2014-10-01,0.289
2011-11-01,0.299
2017-02-01,0.259
2014-03-03,0.263
2010-10-01,0.392
2013-09-03,0.279
2016-05-02,0.26
